soccerway_pk,Nombre,Apellidos,Nacionalidad_x,Fecha de nacimiento,Edad_x,País de nacimiento,Posición,Altura,Peso,Pie_x,Equipo_x,Temporada,URL,2025_Temporada,2025_Equipo,2025_Liga,2025_Minutos Jugados,2025_Apariciones,2025_Alineaciones,2025_Entra,2025_Sale,2025_Comenzó de suplente,2025_Gol,2025_Amarilla,2025_Segunda Amarilla,2025_Roja,2024_Temporada,2024_Equipo,2024_Liga,2024_Minutos Jugados,2024_Apariciones,2024_Alineaciones,2024_Entra,2024_Sale,2024_Comenzó de suplente,2024_Gol,2024_Amarilla,2024_Segunda Amarilla,2024_Roja,2019/2020_Temporada,2019/2020_Equipo,2019/2020_Liga,2019/2020_Minutos Jugados,2019/2020_Apariciones,2019/2020_Alineaciones,2019/2020_Entra,2019/2020_Sale,2019/2020_Comenzó de suplente,2019/2020_Gol,2019/2020_Amarilla,2019/2020_Segunda Amarilla,2019/2020_Roja,tmkt_pk,Nombre Jugador,Fecha Nacimiento,Posicion,Posicion Secundaria,Equipo_y,Link Jugador,Valor de Mercado,Nacionalidad_y,Pie_y,Agente,Fichado,Contrato Hasta,besoccer_pk,Nombre completo,Nacionalidad,Edad_y,ELO,birth_date,Ritmo,Tiro,Pase,Regate,Defensa,Fisico,Físico,Salto,Estirada,Paradas,Saques,Colocación,Reflejos,Valoracion Scouting
gabriel_jesus_castellon_velazquez_chile_08_septiembre_1993,Gabriel Jesús,Castellón Velazquez,Chile,1993-09-08,31.0,Chile,Portero,187 cm,80 kg,,Universidad de Chile,2025,https://el.soccerway.com/players/gabriel-jesus-castellon-velazque/192894/,2025.0,Universidad de Chile,PRD,90,1,1,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,2700.0,30.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,gabriel_jesus_castellon_velazquez_chile_08_septiembre_1993,Gabriel Jesús Castellón Velázquez,08/09/1993 (31),Portero,Portero,Universidad de Chile,https://www.transfermarkt.es/gabriel-castellon/profil/spieler/189785,800 mil €,Chile,Derecho,Vibra Futbol,03/01/2024,31/12/2027,,,,,,,,,,,,,,,,,,,,Predeterminado
cristopher_benjamin_toselli_rios_chile_15_junio_1988,Cristopher Benjamín,Toselli Ríos,Chile,1988-06-15,36.0,Chile,Portero,183 cm,75 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/cristopher-benjamin-toselli/21771/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,1,0,0,0,0,2024,Universidad de Chile,PRD,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,cristopher_benjamin_toselli_rios_chile_15_junio_1988,Cristopher Benjamín Toselli Ríos,15/06/1988 (36),Portero,Portero,Universidad de Chile,https://www.transfermarkt.es/cristopher-toselli/profil/spieler/72903,50 mil €,Chile,Derecho,Vibra Futbol,09/01/2023,31/12/2025,,,,,,,,,,,,,,,,,,,,Predeterminado
matias_ezequiel_zaldivia_chile_22_enero_1991,Matías Ezequiel,Zaldivia,Chile,1991-01-22,34.0,Argentina,Defensa,184 cm,87 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/matias-zaldivia/161189/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,2382.0,27.0,27.0,0.0,2.0,0.0,2.0,10.0,0.0,1.0,,,,,,,,,,,,,,matias_ezequiel_zaldivia_chile_22_enero_1991,Matías Ezequiel Zaldivia,22/01/1991 (34),Defensa central,Defensa central,Universidad de Chile,https://www.transfermarkt.es/matias-zaldivia/profil/spieler/168259,450 mil €,Chile,Derecho,Ala Sur,01/01/2023,31/12/2026,,,,,,,,,,,,,,,,,,,,Predeterminado
jose_ignacio_castro_mena_chile_13_octubre_2001,José Ignacio,Castro Mena,Chile,2001-10-13,23.0,Chile,Defensa,,,,Universidad de Chile,2025,https://el.soccerway.com/players/jose-ignacio-castro-mena/692990/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,129.0,10.0,0.0,10.0,1.0,12.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,jose_ignacio_castro_mena_chile_13_octubre_2001,José Ignacio Castro Mena,13/10/2001 (23),Lateral izquierdo,Defensa central,Universidad de Chile,https://www.transfermarkt.es/jose-ignacio-castro/profil/spieler/873900,350 mil €,Chile,Izquierdo,AIM fútbol,01/01/2022,31/12/2026,,,,,,,,,,,,,,,,,,,,Predeterminado
antonio_alejandro_diaz_campos_chile_26_abril_2000,Antonio Alejandro,Díaz Campos,Chile,2000-04-26,24.0,Chile,Delantero,176 cm,78 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/antonio-diaz/475881/,2025.0,Universidad de Chile,PRD,9,1,0,1,0,1,0,0,0,0,2024,Universidad de Chile,PRD,254.0,4.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,antonio_alejandro_diaz_campos_chile_26_abril_2000,Antonio Alejandro Díaz Campos,26/04/2000 (24),Lateral izquierdo,Interior izquierdo,Universidad de Chile,https://www.transfermarkt.es/antonio-diaz/profil/spieler/491646,800 mil €,Chile,Izquierdo,Vibra Futbol,03/07/2024,31/12/2027,,,,,,,,,,,,,,,,,,,,Predeterminado
charles_mariano_aranguiz_sandoval_chile_17_abril_1989,Charles Mariano,Aránguiz Sandoval,Chile,1989-04-17,35.0,Chile,Centrocampista,171 cm,68 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/charles-aranguiz/21922/,2025.0,Universidad de Chile,PRD,72,1,1,0,1,0,0,0,0,0,2024,Universidad de Chile,PRD,997.0,12.0,11.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,,,,,,,,,,,,,,charles_mariano_aranguiz_sandoval_chile_17_abril_1989,Charles Mariano Aránguiz Sandoval,17/04/1989 (35),Mediocentro,Pivote,Universidad de Chile,https://www.transfermarkt.es/charles-aranguiz/profil/spieler/89701,"1,20 mill. €",Chile,Derecho,Vibra Futbol,05/08/2024,31/12/2025,,,,,,,,,,,,,,,,,,,,Predeterminado
ignacio_alejandro_tapia_bustamante_chile_22_febrero_1999,Ignacio Alejandro,Tapia Bustamante,Chile,1999-02-22,25.0,Chile,Defensa,190 cm,87 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/ignacio-tapia/451152/,2025.0,Universidad de Chile,PRD,46,1,1,0,1,0,0,0,0,0,2024,Universidad de Chile,PRD,546.0,10.0,5.0,5.0,1.0,10.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,,ignacio_alejandro_tapia_bustamante_chile_22_febrero_1999,Ignacio Alejandro Tapia Bustamante,22/02/1999 (25),Defensa central,Defensa central,Universidad de Chile,https://www.transfermarkt.es/ignacio-tapia/profil/spieler/460830,300 mil €,Chile,Izquierdo,Vibra Futbol,01/02/2022,31/12/2025,,,,,,,,,,,,,,,,,,,,Predeterminado
ignacio_javier_saez_goenaga_chile_04_septiembre_2005,Ignacio Javier,Sáez Goenaga,Chile,2005-09-04,19.0,Chile,Portero,181 cm,84 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/ignacio-saez/830361/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Recoleta,PRB,1800.0,20.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,ignacio_javier_saez_goenaga_chile_04_septiembre_2005,Ignacio Javier Sáez Goenaga,04/09/2005 (19),Portero,Portero,Universidad de Chile,https://www.transfermarkt.es/ignacio-saez/profil/spieler/1003912,350 mil €,Chile,Derecho,Desconocido,01/01/2025,-,,,,,,,,,,,,,,,,,,,,Predeterminado
julian_israel_alfaro_gaete_chile_09_febrero_2001,Julián Israel,Alfaro Gaete,Chile,2001-02-09,24.0,Chile,Delantero,166 cm,62 kg,,Universidad de Chile,2025,https://el.soccerway.com/players/julian-israel-alfaro-gaete/574086/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Magallanes,PRB,1150.0,16.0,15.0,1.0,12.0,1.0,1.0,6.0,0.0,0.0,,,,,,,,,,,,,,julian_israel_alfaro_gaete_chile_09_febrero_2001,Julián Israel Alfaro Gaete,09/02/2001 (24),Extremo derecho,Delantero centro,Universidad de Chile,https://www.transfermarkt.es/julian-alfaro/profil/spieler/660546,550 mil €,Chile,Derecho,Desconocido,01/01/2025,31/12/2027,,,,,,,,,,,,,,,,,,,,Predeterminado
david_matias_retamal_bascur_chile_14_abril_2003,David Matías,Retamal Bascur,Chile,2003-04-14,21.0,Chile,Defensa,,,,Universidad de Chile,2025,https://el.soccerway.com/players/david-matias-retamal-bascur/895269/,2025.0,Universidad de Chile,PRD,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,PRD,261.0,6.0,3.0,3.0,2.0,8.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,david_matias_retamal_bascur_chile_14_abril_2003,David Matías Retamal Bascur,14/04/2003 (21),Defensa central,Lateral derecho,Universidad de Chile,https://www.transfermarkt.es/david-retamal/profil/spieler/1204631,300 mil €,Chile,Derecho,Desconocido,01/01/2024,31/12/2026,,,,,,,,,,,,,,,,,,,,Predeterminado
