soccerway_pk,Nombre,Apellidos,Nombre Jugador,Nacionalidad,Fecha de nacimiento,Edad,País de nacimiento,Posición,Altura,Peso,Pie,Equipo,Temporada,URL,2025_Temporada,2025_Equipo,2025_Liga,2025_Minutos Jugados,2025_Apariciones,2025_Alineaciones,2025_Entra,2025_Sale,2025_Comenzó de suplente,2025_Gol,2025_Amarilla,2025_Segunda Amarilla,2025_Roja,2024_Temporada,2024_Equipo,2024_Liga,2024_Minutos Jugados,2024_Apariciones,2024_Alineaciones,2024_Entra,2024_Sale,2024_Comenzó de suplente,2024_Gol,2024_Amarilla,2024_Segunda Amarilla,2024_Roja,Posicion Secundaria,Link Jugador,Valor de Mercado,Agente,Fichado,Contrato Hasta,ELO,Ritmo,Tiro,Pase,Regate,Defensa,Físico,Salto,Estirada,Paradas,Saques,Colocación,Reflejos
gabriel_jesus_castellon_velazquez_chile_08_septiembre_1993,Gabriel Jesús,Castellón Velazquez,Gabriel Jesús Castellón Velazquez,Chile,1993-09-08 00:00:00,31.0,Chile,Portero,187 cm,80 kg,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/gabriel-jesus-castellon-velazque/192894/,2025,Universidad de Chile,Primera División de Chile,90,1,1,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,2700.0,30.0,30.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Portero,https://www.transfermarkt.es/gabriel-castellon/profil/spieler/189785,800 mil €,Vibra Futbol,03/01/2024,31/12/2027,70,0,0,0,0,0,0,66,66,63,58,68,70
cristopher_benjamin_toselli_rios_chile_15_junio_1988,Cristopher Benjamín,Toselli Ríos,Cristopher Benjamín Toselli Ríos,Chile,1988-06-15 00:00:00,36.0,Chile,Portero,183 cm,75 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/cristopher-benjamin-toselli/21771/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,1,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,Portero,https://www.transfermarkt.es/cristopher-toselli/profil/spieler/72903,50 mil €,Vibra Futbol,09/01/2023,31/12/2025,52,0,0,0,0,0,0,75,68,67,69,70,69
matias_ezequiel_zaldivia_chile_22_enero_1991,Matías Ezequiel,Zaldivia,Matías Ezequiel Zaldivia,Chile,1991-01-22 00:00:00,34.0,Argentina,Defensa,184 cm,87 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/matias-zaldivia/161189/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,2382.0,27.0,27.0,0.0,2.0,0.0,2.0,10.0,0.0,1.0,Defensa central,https://www.transfermarkt.es/matias-zaldivia/profil/spieler/168259,450 mil €,Ala Sur,01/01/2023,31/12/2026,70,41,41,58,52,52,64,0,0,0,0,0,0
jose_ignacio_castro_mena_chile_13_octubre_2001,José Ignacio,Castro Mena,José Ignacio Castro Mena,Chile,2001-10-13 00:00:00,23.0,Chile,Defensa,Sin información,Sin información,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/jose-ignacio-castro-mena/692990/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,129.0,10.0,0.0,10.0,1.0,12.0,0.0,1.0,0.0,0.0,Defensa central,https://www.transfermarkt.es/jose-ignacio-castro/profil/spieler/873900,350 mil €,AIM fútbol,01/01/2022,31/12/2026,42,0,0,0,0,0,0,0,0,0,0,0,0
antonio_alejandro_diaz_campos_chile_26_abril_2000,Antonio Alejandro,Díaz Campos,Antonio Alejandro Díaz Campos,Chile,2000-04-26 00:00:00,24.0,Chile,Delantero,176 cm,78 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/antonio-diaz/475881/,2025,Universidad de Chile,Primera División de Chile,9,1,0,1,0,1,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,254.0,4.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,Interior izquierdo,https://www.transfermarkt.es/antonio-diaz/profil/spieler/491646,800 mil €,Vibra Futbol,03/07/2024,31/12/2027,61,0,0,0,0,0,0,0,0,0,0,0,0
charles_mariano_aranguiz_sandoval_chile_17_abril_1989,Charles Mariano,Aránguiz Sandoval,Charles Mariano Aránguiz Sandoval,Chile,1989-04-17 00:00:00,35.0,Chile,Centrocampista,171 cm,68 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/charles-aranguiz/21922/,2025,Universidad de Chile,Primera División de Chile,72,1,1,0,1,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,997.0,12.0,11.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,Pivote,https://www.transfermarkt.es/charles-aranguiz/profil/spieler/89701,"1,20 mill. €",Vibra Futbol,05/08/2024,31/12/2025,73,34,76,78,66,63,69,0,0,0,0,0,0
ignacio_alejandro_tapia_bustamante_chile_22_febrero_1999,Ignacio Alejandro,Tapia Bustamante,Ignacio Alejandro Tapia Bustamante,Chile,1999-02-22 00:00:00,25.0,Chile,Defensa,190 cm,87 kg,Izquierdo,Universidad de Chile,2025,https://el.soccerway.com/players/ignacio-tapia/451152/,2025,Universidad de Chile,Primera División de Chile,46,1,1,0,1,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,546.0,10.0,5.0,5.0,1.0,10.0,0.0,3.0,0.0,0.0,Defensa central,https://www.transfermarkt.es/ignacio-tapia/profil/spieler/460830,300 mil €,Vibra Futbol,01/02/2022,31/12/2025,57,54,30,36,42,44,62,0,0,0,0,0,0
ignacio_javier_saez_goenaga_chile_04_septiembre_2005,Ignacio Javier,Sáez Goenaga,Ignacio Javier Sáez Goenaga,Chile,2005-09-04 00:00:00,19.0,Chile,Portero,181 cm,84 kg,Derecho,Universidad de Chile,2025,https://el.soccerway.com/players/ignacio-saez/830361/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Recoleta,Primera B de Chile,1800.0,20.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,Portero,https://www.transfermarkt.es/ignacio-saez/profil/spieler/1003912,350 mil €,Desconocido,01/01/2025,-,47,0,0,0,0,0,0,0,0,0,0,0,0
julian_israel_alfaro_gaete_chile_09_febrero_2001,Julián Israel,Alfaro Gaete,Julián Israel Alfaro Gaete,Chile,2001-02-09 00:00:00,24.0,Chile,Delantero,166 cm,62 kg,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/julian-israel-alfaro-gaete/574086/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Magallanes,Primera B de Chile,1150.0,16.0,15.0,1.0,12.0,1.0,1.0,6.0,0.0,0.0,Delantero centro,https://www.transfermarkt.es/julian-alfaro/profil/spieler/660546,550 mil €,Desconocido,01/01/2025,31/12/2027,59,0,0,0,0,0,0,0,0,0,0,0,0
david_matias_retamal_bascur_chile_14_abril_2003,David Matías,Retamal Bascur,David Matías Retamal Bascur,Chile,2003-04-14 00:00:00,21.0,Chile,Defensa,Sin información,Sin información,Sin información,Universidad de Chile,2025,https://el.soccerway.com/players/david-matias-retamal-bascur/895269/,2025,Universidad de Chile,Primera División de Chile,0,0,0,0,0,0,0,0,0,0,2024,Universidad de Chile,Primera División de Chile,261.0,6.0,3.0,3.0,2.0,8.0,0.0,1.0,0.0,0.0,Lateral derecho,https://www.transfermarkt.es/david-retamal/profil/spieler/1204631,300 mil €,Desconocido,01/01/2024,31/12/2026,34,0,0,0,0,0,0,0,0,0,0,0,0
